,Burgers,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Protein
3,Single ShackBurger®,530,34,14,1,115,1260,26,0,6,29
4,Double ShackBurger®,790,52,23,2,195,2280,27,0,6,51
5,Single Hamburger,400,22,10,1,85,850,24,0,5,25
6,Double Hamburger,590,34,15,1.5,150,1540,24,0,5,44
7,Single Cheeseburger,470,28,14,1,105,1200,25,0,5,29
8,Double Cheeseburger,730,46,22,2,185,2220,25,0,5,51
9,‘Shroom Burger,550,31,12,0.5,55,670,49,0,7,18
10,Shack Stack®,800,49,21,1.5,140,1700,50,0,7,40
11,Single SmokeShackTM,610,39,16,1,130,2010,28,0,7,36
12,Double SmokeShackTM,870,57,24,2,210,3030,28,0,7,58
13,Roadside Double Burger*,770,46,20,2,175,2300,32,0,7,53
14,Lockhart Link Burger*,810,60,24,1,165,2050,27,2,5,39
15,"Lockhart Link Burger, Double*",1070,78,32,2,245,3080,28,2,6,61
16,"Lockhart Link Burger, Triple*",1330,96,40,3,330,4110,29,2,6,83
17,Link Burger*,720,51,20,1,155,2000,29,2,6,37
18,"Link Burger, Double*",980,69,29,2,235,3020,29,2,7,59
19,"Link Burger, Triple*",1240,87,37,3,315,4050,30,2,7,81
20,"Green Chile CheddarShack, Single*",510,30,15,1,110,1380,28,1,6,30
21,"Green Chile CheddarShack, Double*",780,50,24,1.5,195,2190,28,1,6,54
22,Mound City Double*,810,52,22,1.5,195,2380,26,0,6,56
23,"Crackle Shack, Single*",580,37,15,1,120,1400,25,0,5,34
24,"Crackle Shack, Double*",770,49,20,2,185,2080,25,0,5,53
25,Montlake Double Cut*,940,64,29,1.5,230,2470,36,0,5,54
26,Golden State Double*,960,65,27,2,235,2200,41,0,9,52
27,"Bacon Cheeseburger, single",540,33,15,1,120,1480,25,0,5,35
28,"Bacon Cheeseburger, double",800,51,24,2,200,2510,25,0,6,58
29,Veggie Shack*,530,27,7,0,20,1250,56,6,10,16
30,"Veggie Shack, vegan, lettuce wrap*",310,18,1.5,0,0,900,31,4,6,4
31,"Veggie Shack, vegan*",390,22,1.5,0,0,1130,50,6,8,6
32,Grilled Cheese,350,22,13,0.5,55,850,25,0,5,14
33,Martin's Potato Roll,210,10,6,0,20,170,24,0,5,7
34,Gluten Free Bun,160,3.0,0,0,0,350,31,2,5,3
35,Lettuce Wrap,5,0,0,0,0,15,1,1,0,1
36,Burger Patty,190,12,4.5,0.5,65,690,0,0,0,19
37,American Cheese,70,6,3.5,0,15,340,1,0,0,4
38,ShackSauce,60,6,1,0,10,60,0,0,0,0
39,Lettuce,1,0,0,0,0,0,0,0,0,0
40,Tomato,5,0,0,0,0,0,1,0,0,0
41,Pickle,1,0,0,0,0,140,0,0,0,0
42,Onion,5,0,0,0,0,0,1,0,0,0
43,Bacon (2 Slices),70,4.5,1.5,0,15,290,0,0,0,6
44,Cherry Peppers,10,0,0,0,0,470,2,0,2,0
49,Chick'n ShackTM,590,36,10,0,120,1170,34,0,6,33
50,Hot Chick'N,560,31,9,0,115,1220,38,1,8,33
51,Chick'n Bites (6 piece)*,300,19,3.5,0,50,780,15,0,1,17
52,Chick'n Bites (10 piece)*,510,32,6,0,85,1300,26,0,2,29
53,Herb Mayonnaise,90,10,0.5,0,10,140,0,0,0,0
54,BBQ Sauce*,70,0,0,0,0,380,16,0,14,1
55,Honey Mustard*,180,19,2.5,0.0,15,230,4,0,4,1
59,Bacon Breakfast Sandwich*,440,27,13,0.5,240,890,25,0,5,23
61,Bacon Breakfast Sandwich (Double Egg)*,530,34,15,0.5,425,990,26,0,6,29
63,Sausage Breakfast Sandwich*,560,37,16,0.5,270,1220,28,0,8,30
65,Sausage Breakfast Sandwich (Double Egg)*,650,43,18,0.5,455,1310,28,0,8,36
67,Egg and Cheese Breakfast Sandwich*,370,23,11,0.5,225,610,25,0,5,17
74,Hot Dog,390,26,12,0,60,800,25,0,6,16
76,Chicken Dog,310,13,6,0,85,930,27,0,8,24
78,Shack-cago Dog®,410,26,12,0.5,60,1500,29,0,9,17
80,Chicken Shack-cago Dog®,330,13,6,0.5,85,1630,31,0,10,24
81,Sausage Link*,240,20,7,0,40,682,2,0,0,9
82,Publican Pork Sausage*,560,47,16,0,73,1188,14,1,1,13
84,Garden Dog*,220,10,6,0.5,20,1020,28,1,8,8
86,Add Cheese Sauce,80,7,5,0,30,95,1,0,0,2
88,Add Rick’s Picks Shack Relish,5,0,0,0,0,15,1,0,1,0
94,Regular Fries,470,22,4.5,0,15,740,63,7,1,6
96,Cheese Fries,710,44,19,0,95,1020,64,7,1,12
98,Bacon Cheese Fries,840,52,21,0,125,1570,65,7,1,24
100,Double Down Fries*,1910,117,49,1,270,4020,164,16,5,41
102,Big Bob's Cheese Fries*,800,46,19,0,115,1020,92,7,11,17
106,Vanilla Shake,680,36,22,0,235,430,72,0,71,18
107,Vanilla Shake (12oz),500,27,16,0,175,320,53,0,52,13
108,Chocolate Shake,750,45,27,1.5,255,310,76,0,69,16
109,Chocolate Shake (12oz),550,33,20,1,190,220,56,0,51,12
110,Salted Caramel Shake,840,42,26,0,260,950,99,0,96,17
111,Salted Caramel Shake (12oz),630,32,20,0,195,720,74,0,72,13
112,Black & White Shake,770,42,26,0,245,460,80,0,76,19
114,Black & White Shake (12oz),580,32,19,0,180,350,60,0,58,14
116,Strawberry Shake,690,35,21,0,230,430,77,0,75,17
118,Strawberry Shake (12oz),520,27,16,0,175,320,58,0,56,13
120,Cookies & Cream Shake,850,44,24,0,235,580,98,0,86,19
122,Cookies & Cream Shake (12oz),630,33,18,0,175,430,73,0,64,15
124,Coffee Shake,680,35,22,0,235,420,74,0,70,18
126,Coffee Shake (12oz),510,27,16,0,175,320,56,0,52,14
128,Peachtree Shake*,770,38,23,0,240,670,95,0,91,16
130,Traffic JAM Shake*,790,35,21,0,230,410,106,0,102,17
132,Bourbon Salted Caramel Shake*,890,44,27,0,260,700,89,0,87,18
134,Loaded Chocolate Cookies & Cream Shake*,1160,56,32,1.5,265,450,126,0,108,17
136,TKO' Clock Chocolate Cookies & Cream Shake*,1020,59,33,1.5,270,500,112,0,92,19
138,Bananas Foster Shake*,850,42,26,0,255,940,107,0,103,16
140,Whipped Cream,70,5,3.5,0,20,20,5,0,4,1
145,Root Beer Float,430,15,9,0,100,220,70,0,69,7
147,Purple Cow Float,460,15,9,0,100,210,79,0,78,7
149,Creamsicle® Float,440,15,9,0,100,240,75,0,74,7
154,Single Chocolate Cup,310,19,11,0.5,110,120,32,0,29,6
156,Double Chocolate Cup,490,30,18,1,175,190,51,0,47,9
158,Single Vanilla Cup,280,15,9,0,100,180,30,0,30,7
160,Double Vanilla Cup,450,24,14,0,165,280,49,0,48,11
162,Single Vanilla & Chocolate Cup,290,17,10,0,105,150,31,0,29,6
164,Double Vanilla & Chocolate Cup,470,27,16,0,170,230,50,0,47,10
166,Single Chocolate Cone,360,20,11,0.5,110,180,42,0,33,7
168,Double Chocolate Cone,540,31,18,1,175,250,61,0,50,10
170,Single Vanilla Cone,330,15,9,0,100,230,41,0,33,7
172,Double Vanilla Cone,500,24,15,0,165,340,59,0,51,11
174,Single Vanilla & Chocolate Cone,340,17,10,0,105,200,41,0,33,7
176,Double Vanilla & Chocolate Cone,520,28,16,0,170,290,60,0,51,11
182,125th Street Treat,460,21,12,0,130,310,61,0,51,9
184,125th Street Treat (Double),930,41,24,0,265,610,122,1,102,18
186,24 Carrot Magic,480,27,14,0.5,150,200,55,0,44,9
188,24 Carrot Magic (Double),970,54,27,1.5,295,390,111,0,89,17
190,a la Rhode,410,20,12,0,120,340,52,0,48,8
192,a la Rohde (Double),820,40,25,0,240,680,102,1,94,16
194,A Sprinkle In Time,500,23,14,1,140,250,66,0,54,8
196,A Sprinkle In Time (Double),1000,46,27,1.5,280,500,132,0,108,17
198,All-In,520,27,17,0,140,480,61,0,58,8
200,All-In (Double),1030,55,34,0.5,280,960,122,0,115,16
202,Austin Street Treat,420,23,14,0.5,130,290,51,0,42,7
204,Austin Street Treat (Double),840,46,28,1.5,255,590,101,1,85,14
206,Back Bay Blend,560,33,21,1,150,410,64,0,58,7
208,Back Bay Blend (Double),1130,67,41,2,300,820,129,1,116,14
210,Banana Buyout,400,20,12,0,120,340,50,0,47,8
212,Banana Buyout (Double),800,40,25,0,240,680,99,0,93,16
214,Banana Caramel Crunch,420,19,11,0,120,390,48,0,46,8
216,Banana Caramel Crunch (Double),850,38,23,0,240,790,112,1,91,17
218,Banana Post Road,430,27,16,0.5,120,530,45,0,38,8
220,Banana Post Road (Double),860,54,33,1.5,240,1060,91,1,745,15
222,Bathazar Blender,560,30,18,0,150,440,64,0,51,10
224,Bathazar Blender (Double),1120,60,37,0.5,305,890,127,0,101,21
226,Bergen County Blend,420,22,13,0,130,250,48,0,40,9
228,Bergen County Blend (Double),850,44,27,0,255,500,96,1,80,18
230,Berry Blender,410,21,12,0.5,120,250,49,0,40,8
232,Berry Blender (Double),820,42,25,1,240,500,97,0,81,16
234,Beverly Chills,540,29,18,0,130,420,62,0,56,9
236,Beverly Chills (Double),1070,58,37,0,260,850,124,0,113,18
238,Birming Graham,460,20,11,0,130,250,62,0,50,9
240,Birming Graham (Double),920,40,22,0,265,510,123,1,101,17
242,Black & White Cookie,450,25,15,0,130,230,51,0,41,8
244,Black & White Cookie (Double),900,51,30,0.5,255,450,102,0,82,16
246,Blackout Cookie,530,30,14,0.5,120,210,62,0,46,8
248,Blackout Cookie (Double),1060,60,29,1.5,240,430,125,0,92,15
250,Brownie Points,540,28,15,1,135,490,64,0,57,10
252,Brownie Points (Double),1070,56,29,2.5,275,980,129,0,114,19
254,Buffalo Street Brownie,520,26,14,0,125,410,68,0,57,9
256,Buffalo Street Brownie (Double),1050,52,29,0,250,830,135,0,114,19
258,Burrowing Banana,400,23,14,0.5,130,270,48,0,41,7
260,Burrowing Banana (Double),790,48,28,1.5,255,530,91,1,81,13
262,Busy Bee,460,24,12,0,110,270,53,0,43,9
264,Busy Bee (Double),920,47,23,0,225,530,106,1,86,19
266,California Cold Rush,440,23,14,0,130,390,50,1,42,9
268,California Cold Rush (Double),880,46,28,0,255,780,100,1,85,17
270,Camden County Caramel,480,25,15,0,120,360,58,0,51,9
272,Camden County Caramel (Double),970,50,30,0,240,710,117,0,102,18
