,Item,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein
0,Egg McMuffin,300,13.0,5.0,0.0,260,750,31,4,3,17
1,Egg White Delight,250,8.0,3.0,0.0,25,770,30,4,3,18
2,Sausage McMuffin,370,23.0,8.0,0.0,45,780,29,4,2,14
3,Sausage McMuffin with Egg,450,28.0,10.0,0.0,285,860,30,4,2,21
4,Sausage McMuffin with Egg Whites,400,23.0,8.0,0.0,50,880,30,4,2,21
5,Steak & Egg McMuffin,430,23.0,9.0,1.0,300,960,31,4,3,26
6,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",460,26.0,13.0,0.0,250,1300,38,2,3,19
7,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",520,30.0,14.0,0.0,250,1410,43,3,4,19
8,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",410,20.0,11.0,0.0,35,1300,36,2,3,20
9,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",470,25.0,12.0,0.0,35,1420,42,3,4,20
10,Sausage Biscuit (Regular Biscuit),430,27.0,12.0,0.0,30,1080,34,2,2,11
11,Sausage Biscuit (Large Biscuit),480,31.0,13.0,0.0,30,1190,39,3,3,11
12,Sausage Biscuit with Egg (Regular Biscuit),510,33.0,14.0,0.0,250,1170,36,2,2,18
13,Sausage Biscuit with Egg (Large Biscuit),570,37.0,15.0,0.0,250,1280,42,3,3,18
14,Sausage Biscuit with Egg Whites (Regular Biscuit),460,27.0,12.0,0.0,35,1180,34,2,3,18
15,Sausage Biscuit with Egg Whites (Large Biscuit),520,32.0,13.0,0.0,35,1290,40,3,3,18
16,Southern Style Chicken Biscuit (Regular Biscuit),410,20.0,8.0,0.0,30,1180,41,2,3,17
17,Southern Style Chicken Biscuit (Large Biscuit),470,24.0,9.0,0.0,30,1290,46,3,4,17
18,Steak & Egg Biscuit (Regular Biscuit),540,32.0,16.0,1.0,280,1470,38,2,3,25
19,"Bacon, Egg & Cheese McGriddles",460,21.0,9.0,0.0,250,1250,48,2,15,19
20,"Bacon, Egg & Cheese McGriddles with Egg Whites",400,15.0,7.0,0.0,35,1250,47,2,16,20
21,Sausage McGriddles,420,22.0,8.0,0.0,35,1030,44,2,15,11
22,"Sausage, Egg & Cheese McGriddles",550,31.0,12.0,0.0,265,1320,48,2,15,20
23,"Sausage, Egg & Cheese McGriddles with Egg Whites",500,26.0,10.0,0.0,50,1320,46,2,15,21
24,"Bacon, Egg & Cheese Bagel",620,31.0,11.0,0.5,275,1480,57,3,7,30
25,"Bacon, Egg & Cheese Bagel with Egg Whites",570,25.0,9.0,0.5,60,1480,55,3,8,30
26,"Steak, Egg & Cheese Bagel",670,35.0,13.0,1.5,295,1510,56,3,7,33
27,Big Breakfast (Regular Biscuit),740,48.0,17.0,0.0,555,1560,51,3,3,28
28,Big Breakfast (Large Biscuit),800,52.0,18.0,0.0,555,1680,56,4,3,28
29,Big Breakfast with Egg Whites (Regular Biscuit),640,37.0,14.0,0.0,35,1590,50,3,3,26
30,Big Breakfast with Egg Whites (Large Biscuit),690,41.0,14.0,0.0,35,1700,55,4,4,26
31,Big Breakfast with Hotcakes (Regular Biscuit),1090,56.0,19.0,0.0,575,2150,111,6,17,36
32,Big Breakfast with Hotcakes (Large Biscuit),1150,60.0,20.0,0.0,575,2260,116,7,17,36
33,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),990,46.0,16.0,0.0,55,2170,110,6,17,35
34,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),1050,50.0,16.0,0.0,55,2290,115,7,18,35
35,Hotcakes,350,9.0,2.0,0.0,20,590,60,3,14,8
36,Hotcakes and Sausage,520,24.0,7.0,0.0,50,930,61,3,14,15
37,Sausage Burrito,300,16.0,7.0,0.0,115,790,26,1,2,12
38,Hash Brown,150,9.0,1.5,0.0,0,310,15,2,0,1
39,Cinnamon Melts,460,19.0,9.0,0.0,15,370,66,3,32,6
40,Fruit & Maple Oatmeal,290,4.0,1.5,0.0,5,160,58,5,32,5
41,Fruit & Maple Oatmeal without Brown Sugar,260,4.0,1.5,0.0,5,115,49,5,18,5
42,Big Mac,530,27.0,10.0,1.0,85,960,47,3,9,24
43,Quarter Pounder with Cheese,520,26.0,12.0,1.5,95,1100,41,3,10,30
44,Quarter Pounder with Bacon & Cheese,600,29.0,13.0,1.5,105,1440,48,3,12,37
45,Quarter Pounder with Bacon Habanero Ranch,610,31.0,13.0,1.5,105,1180,46,3,10,37
46,Quarter Pounder Deluxe,540,27.0,11.0,1.5,85,960,45,3,9,29
47,Double Quarter Pounder with Cheese,750,43.0,19.0,2.5,160,1280,42,3,10,48
48,Hamburger,240,8.0,3.0,0.0,30,480,32,1,6,12
49,Cheeseburger,290,11.0,5.0,0.5,45,680,33,2,7,15
50,Double Cheeseburger,430,21.0,10.0,1.0,90,1040,35,2,7,24
51,Bacon Clubhouse Burger,720,40.0,15.0,1.5,115,1470,51,4,14,39
52,McDouble,380,17.0,8.0,1.0,75,840,34,2,7,22
53,Bacon McDouble,440,22.0,10.0,1.0,90,1110,35,2,7,27
54,Daily Double,430,22.0,9.0,1.0,80,760,34,2,7,22
