,Burgers,Calories,Total Fat,Sat Fat,Trans Fat,Chol.,Sodium,Total Carb,Fiber,Sugars,Protein
0,Single ShackBurger®,530,34.0,14.0,1.0,115,1260,26,0,6,29
1,Double ShackBurger®,790,52.0,23.0,2.0,195,2280,27,0,6,51
2,Single Hamburger,400,22.0,10.0,1.0,85,850,24,0,5,25
3,Double Hamburger,590,34.0,15.0,1.5,150,1540,24,0,5,44
4,Single Cheeseburger,470,28.0,14.0,1.0,105,1200,25,0,5,29
5,Double Cheeseburger,730,46.0,22.0,2.0,185,2220,25,0,5,51
6,‘Shroom Burger,550,31.0,12.0,0.5,55,670,49,0,7,18
7,Shack Stack®,800,49.0,21.0,1.5,140,1700,50,0,7,40
8,Single SmokeShackTM,610,39.0,16.0,1.0,130,2010,28,0,7,36
9,Double SmokeShackTM,870,57.0,24.0,2.0,210,3030,28,0,7,58
10,Roadside Double Burger*,770,46.0,20.0,2.0,175,2300,32,0,7,53
11,Lockhart Link Burger*,810,60.0,24.0,1.0,165,2050,27,2,5,39
12,"Lockhart Link Burger, Double*",1070,78.0,32.0,2.0,245,3080,28,2,6,61
13,"Lockhart Link Burger, Triple*",1330,96.0,40.0,3.0,330,4110,29,2,6,83
14,Link Burger*,720,51.0,20.0,1.0,155,2000,29,2,6,37
15,"Link Burger, Double*",980,69.0,29.0,2.0,235,3020,29,2,7,59
16,"Link Burger, Triple*",1240,87.0,37.0,3.0,315,4050,30,2,7,81
17,"Green Chile CheddarShack, Single*",510,30.0,15.0,1.0,110,1380,28,1,6,30
18,"Green Chile CheddarShack, Double*",780,50.0,24.0,1.5,195,2190,28,1,6,54
19,Mound City Double*,810,52.0,22.0,1.5,195,2380,26,0,6,56
20,"Crackle Shack, Single*",580,37.0,15.0,1.0,120,1400,25,0,5,34
21,"Crackle Shack, Double*",770,49.0,20.0,2.0,185,2080,25,0,5,53
22,Montlake Double Cut*,940,64.0,29.0,1.5,230,2470,36,0,5,54
23,Golden State Double*,960,65.0,27.0,2.0,235,2200,41,0,9,52
24,"Bacon Cheeseburger, single",540,33.0,15.0,1.0,120,1480,25,0,5,35
25,"Bacon Cheeseburger, double",800,51.0,24.0,2.0,200,2510,25,0,6,58
26,Veggie Shack*,530,27.0,7.0,0.0,20,1250,56,6,10,16
27,"Veggie Shack, vegan, lettuce wrap*",310,18.0,1.5,0.0,0,900,31,4,6,4
28,"Veggie Shack, vegan*",390,22.0,1.5,0.0,0,1130,50,6,8,6
29,Grilled Cheese,350,22.0,13.0,0.5,55,850,25,0,5,14
30,Martin's Potato Roll,210,10.0,6.0,0.0,20,170,24,0,5,7
31,Gluten Free Bun,160,3.0,0.0,0.0,0,350,31,2,5,3
32,Lettuce Wrap,5,0.0,0.0,0.0,0,15,1,1,0,1
33,Burger Patty,190,12.0,4.5,0.5,65,690,0,0,0,19
34,American Cheese,70,6.0,3.5,0.0,15,340,1,0,0,4
35,ShackSauce,60,6.0,1.0,0.0,10,60,0,0,0,0
36,Lettuce,1,0.0,0.0,0.0,0,0,0,0,0,0
37,Tomato,5,0.0,0.0,0.0,0,0,1,0,0,0
38,Pickle,1,0.0,0.0,0.0,0,140,0,0,0,0
39,Onion,5,0.0,0.0,0.0,0,0,1,0,0,0
40,Bacon (2 Slices),70,4.5,1.5,0.0,15,290,0,0,0,6
41,Cherry Peppers,10,0.0,0.0,0.0,0,470,2,0,2,0
42,Chick'n ShackTM,590,36.0,10.0,0.0,120,1170,34,0,6,33
43,Hot Chick'N,560,31.0,9.0,0.0,115,1220,38,1,8,33
44,Chick'n Bites (6 piece)*,300,19.0,3.5,0.0,50,780,15,0,1,17
45,Chick'n Bites (10 piece)*,510,32.0,6.0,0.0,85,1300,26,0,2,29
46,Herb Mayonnaise,90,10.0,0.5,0.0,10,140,0,0,0,0
47,BBQ Sauce*,70,0.0,0.0,0.0,0,380,16,0,14,1
48,Honey Mustard*,180,19.0,2.5,0.0,15,230,4,0,4,1
49,Bacon Breakfast Sandwich*,440,27.0,13.0,0.5,240,890,25,0,5,23
50,Bacon Breakfast Sandwich (Double Egg)*,530,34.0,15.0,0.5,425,990,26,0,6,29
51,Sausage Breakfast Sandwich*,560,37.0,16.0,0.5,270,1220,28,0,8,30
52,Sausage Breakfast Sandwich (Double Egg)*,650,43.0,18.0,0.5,455,1310,28,0,8,36
53,Egg and Cheese Breakfast Sandwich*,370,23.0,11.0,0.5,225,610,25,0,5,17
54,Hot Dog,390,26.0,12.0,0.0,60,800,25,0,6,16
55,Chicken Dog,310,13.0,6.0,0.0,85,930,27,0,8,24
56,Shack-cago Dog®,410,26.0,12.0,0.5,60,1500,29,0,9,17
57,Chicken Shack-cago Dog®,330,13.0,6.0,0.5,85,1630,31,0,10,24
58,Sausage Link*,240,20.0,7.0,0.0,40,682,2,0,0,9
59,Publican Pork Sausage*,560,47.0,16.0,0.0,73,1188,14,1,1,13
60,Garden Dog*,220,10.0,6.0,0.5,20,1020,28,1,8,8
61,Add Cheese Sauce,80,7.0,5.0,0.0,30,95,1,0,0,2
62,Add Rick’s Picks Shack Relish,5,0.0,0.0,0.0,0,15,1,0,1,0
63,Regular Fries,470,22.0,4.5,0.0,15,740,63,7,1,6
64,Cheese Fries,710,44.0,19.0,0.0,95,1020,64,7,1,12
65,Bacon Cheese Fries,840,52.0,21.0,0.0,125,1570,65,7,1,24
66,Double Down Fries*,1910,117.0,49.0,1.0,270,4020,164,16,5,41
67,Big Bob's Cheese Fries*,800,46.0,19.0,0.0,115,1020,92,7,11,17
68,Vanilla Shake,680,36.0,22.0,0.0,235,430,72,0,71,18
69,Vanilla Shake (12oz),500,27.0,16.0,0.0,175,320,53,0,52,13
70,Chocolate Shake,750,45.0,27.0,1.5,255,310,76,0,69,16
71,Chocolate Shake (12oz),550,33.0,20.0,1.0,190,220,56,0,51,12
72,Salted Caramel Shake,840,42.0,26.0,0.0,260,950,99,0,96,17
73,Salted Caramel Shake (12oz),630,32.0,20.0,0.0,195,720,74,0,72,13
74,Black & White Shake,770,42.0,26.0,0.0,245,460,80,0,76,19
75,Black & White Shake (12oz),580,32.0,19.0,0.0,180,350,60,0,58,14
76,Strawberry Shake,690,35.0,21.0,0.0,230,430,77,0,75,17
77,Strawberry Shake (12oz),520,27.0,16.0,0.0,175,320,58,0,56,13
78,Cookies & Cream Shake,850,44.0,24.0,0.0,235,580,98,0,86,19
79,Cookies & Cream Shake (12oz),630,33.0,18.0,0.0,175,430,73,0,64,15
80,Coffee Shake,680,35.0,22.0,0.0,235,420,74,0,70,18
81,Coffee Shake (12oz),510,27.0,16.0,0.0,175,320,56,0,52,14
82,Peachtree Shake*,770,38.0,23.0,0.0,240,670,95,0,91,16
83,Traffic JAM Shake*,790,35.0,21.0,0.0,230,410,106,0,102,17
84,Bourbon Salted Caramel Shake*,890,44.0,27.0,0.0,260,700,89,0,87,18
85,Loaded Chocolate Cookies & Cream Shake*,1160,56.0,32.0,1.5,265,450,126,0,108,17
86,TKO' Clock Chocolate Cookies & Cream Shake*,1020,59.0,33.0,1.5,270,500,112,0,92,19
87,Bananas Foster Shake*,850,42.0,26.0,0.0,255,940,107,0,103,16
88,Whipped Cream,70,5.0,3.5,0.0,20,20,5,0,4,1
89,Root Beer Float,430,15.0,9.0,0.0,100,220,70,0,69,7
90,Purple Cow Float,460,15.0,9.0,0.0,100,210,79,0,78,7
91,Creamsicle® Float,440,15.0,9.0,0.0,100,240,75,0,74,7
92,Single Chocolate Cup,310,19.0,11.0,0.5,110,120,32,0,29,6
93,Double Chocolate Cup,490,30.0,18.0,1.0,175,190,51,0,47,9
